match_id,payment_record_id,bank_transaction_id,match_type,match_status
MATCH-0000034,PAYREC-000038,BTX-0000034,one_to_one,matched
MATCH-0000035,PAYREC-000039,BTX-0000035,one_to_one,matched
MATCH-0000036,PAYREC-000040,BTX-0000036,one_to_one,matched
MATCH-0000037,PAYREC-000041,BTX-0000037,one_to_one,matched
MATCH-0000038,PAYREC-000042,BTX-0000038,one_to_one,matched
MATCH-0000039,PAYREC-000043,BTX-0000039,one_to_one,matched
MATCH-0000040,PAYREC-000044,BTX-0000040,one_to_one,matched
MATCH-0000041,PAYREC-000045,BTX-0000041,one_to_one,matched
MATCH-0000042,PAYREC-000046,BTX-0000042,one_to_one,matched
MATCH-0000043,PAYREC-000047,BTX-0000043,one_to_one,matched
MATCH-0000044,PAYREC-000048,BTX-0000044,one_to_one,matched
MATCH-0000045,PAYREC-000049,BTX-0000045,one_to_one,matched
MATCH-0000046,PAYREC-000050,BTX-0000046,one_to_one,matched
MATCH-0000047,PAYREC-000051,BTX-0000047,one_to_one,matched
MATCH-0000048,PAYREC-000053,BTX-0000048,one_to_one,matched
MATCH-0000049,PAYREC-000054,BTX-0000049,one_to_one,matched
MATCH-0000050,PAYREC-000055,BTX-0000050,one_to_one,matched
MATCH-0000051,PAYREC-000056,BTX-0000051,one_to_one,matched
MATCH-0000052,PAYREC-000058,BTX-0000052,one_to_one,matched
MATCH-0000053,PAYREC-000059,BTX-0000053,one_to_one,matched
MATCH-0000054,PAYREC-000060,BTX-0000054,one_to_one,matched
MATCH-0000055,PAYREC-000064,BTX-0000055,one_to_one,matched
MATCH-0000056,PAYREC-000065,BTX-0000056,one_to_one,matched
MATCH-0000057,PAYREC-000066,BTX-0000057,one_to_one,matched
MATCH-0000058,PAYREC-000067,BTX-0000058,one_to_one,matched
MATCH-0000059,PAYREC-000068,BTX-0000059,one_to_one,matched
MATCH-0000060,PAYREC-000069,BTX-0000060,one_to_one,matched
MATCH-0000061,PAYREC-000072,BTX-0000061,one_to_one,matched
MATCH-0000062,PAYREC-000074,BTX-0000062,one_to_one,matched
MATCH-0000063,PAYREC-000075,BTX-0000063,one_to_one,matched
MATCH-0000064,PAYREC-000076,BTX-0000064,one_to_one,matched
MATCH-0000065,PAYREC-000077,BTX-0000065,one_to_one,matched
MATCH-0000066,PAYREC-000080,BTX-0000066,one_to_one,matched
MATCH-0000067,PAYREC-000081,BTX-0000067,one_to_one,matched
MATCH-0000068,PAYREC-000083,BTX-0000068,one_to_one,matched
MATCH-0000069,PAYREC-000084,BTX-0000069,one_to_one,matched
MATCH-0000070,PAYREC-000085,BTX-0000070,one_to_one,matched
MATCH-0000071,PAYREC-000086,BTX-0000071,one_to_one,matched
MATCH-0000072,PAYREC-000087,BTX-0000072,one_to_one,matched
MATCH-0000073,PAYREC-000088,BTX-0000073,one_to_one,matched
MATCH-0000074,PAYREC-000089,BTX-0000074,one_to_one,matched
MATCH-0000075,PAYREC-000090,BTX-0000075,one_to_one,matched
MATCH-0000076,PAYREC-000091,BTX-0000076,one_to_one,matched
MATCH-0000077,PAYREC-000093,BTX-0000077,one_to_one,matched
MATCH-0000078,PAYREC-000094,BTX-0000078,one_to_one,matched
MATCH-0000079,PAYREC-000096,BTX-0000079,one_to_one,matched
MATCH-0000080,PAYREC-000097,BTX-0000080,one_to_one,matched
MATCH-0000081,PAYREC-000098,BTX-0000081,one_to_one,matched
MATCH-0000082,PAYREC-000099,BTX-0000082,one_to_one,matched
MATCH-0000083,PAYREC-000100,BTX-0000083,one_to_one,matched
MATCH-0000084,PAYREC-000101,BTX-0000084,one_to_one,matched
MATCH-0000085,PAYREC-000102,BTX-0000085,one_to_one,matched
MATCH-0000086,PAYREC-000105,BTX-0000086,one_to_one,matched
MATCH-0000087,PAYREC-000106,BTX-0000087,one_to_one,matched
MATCH-0000088,PAYREC-000107,BTX-0000088,one_to_one,matched
MATCH-0000089,PAYREC-000109,BTX-0000089,one_to_one,matched
MATCH-0000090,PAYREC-000111,BTX-0000090,one_to_one,matched
MATCH-0000091,PAYREC-000112,BTX-0000091,one_to_one,matched
MATCH-0000092,PAYREC-000113,BTX-0000092,one_to_one,matched
MATCH-0000093,PAYREC-000114,BTX-0000093,one_to_one,matched
MATCH-0000094,PAYREC-000115,BTX-0000094,one_to_one,matched
MATCH-0000095,PAYREC-000116,BTX-0000095,one_to_one,matched
MATCH-0000096,PAYREC-000118,BTX-0000096,one_to_one,matched
MATCH-0000097,PAYREC-000119,BTX-0000097,one_to_one,matched
MATCH-0000098,PAYREC-000120,BTX-0000098,one_to_one,matched
MATCH-0000099,PAYREC-000121,BTX-0000099,one_to_one,matched
MATCH-0000100,PAYREC-000122,BTX-0000100,one_to_one,matched
MATCH-0000101,PAYREC-000123,BTX-0000101,one_to_one,matched
MATCH-0000102,PAYREC-000124,BTX-0000102,one_to_one,matched
MATCH-0000103,PAYREC-000125,BTX-0000103,one_to_one,matched
MATCH-0000104,PAYREC-000126,BTX-0000104,one_to_one,matched
MATCH-0000105,PAYREC-000128,BTX-0000105,one_to_one,matched
MATCH-0000106,PAYREC-000129,BTX-0000106,one_to_one,matched
MATCH-0000107,PAYREC-000130,BTX-0000107,one_to_one,matched
MATCH-0000108,PAYREC-000131,BTX-0000108,one_to_one,matched
MATCH-0000109,PAYREC-000132,BTX-0000109,one_to_one,matched
MATCH-0000110,PAYREC-000133,BTX-0000110,one_to_one,matched
MATCH-0000111,PAYREC-000134,BTX-0000111,one_to_one,matched
MATCH-0000112,PAYREC-000135,BTX-0000112,one_to_one,matched
MATCH-0000113,PAYREC-000136,BTX-0000113,one_to_one,matched
MATCH-0000114,PAYREC-000137,BTX-0000114,one_to_one,matched
MATCH-0000115,PAYREC-000138,BTX-0000115,one_to_one,matched
MATCH-0000116,PAYREC-000139,BTX-0000116,one_to_one,matched
MATCH-0000117,PAYREC-000140,BTX-0000117,one_to_one,matched
MATCH-0000118,PAYREC-000141,BTX-0000118,one_to_one,matched
MATCH-0000119,PAYREC-000142,BTX-0000119,one_to_one,matched
MATCH-0000120,PAYREC-000143,BTX-0000120,one_to_one,matched
MATCH-0000121,PAYREC-000144,BTX-0000121,one_to_one,matched
MATCH-0000122,PAYREC-000146,BTX-0000122,one_to_one,matched
MATCH-0000123,PAYREC-000147,BTX-0000123,one_to_one,matched
MATCH-0000124,PAYREC-000148,BTX-0000124,one_to_one,matched
MATCH-0000125,PAYREC-000149,BTX-0000125,one_to_one,matched
MATCH-0000126,PAYREC-000150,BTX-0000126,one_to_one,matched
MATCH-0000127,PAYREC-000151,BTX-0000127,one_to_one,matched
MATCH-0000128,PAYREC-000154,BTX-0000128,one_to_one,matched
MATCH-0000129,PAYREC-000155,BTX-0000129,one_to_one,matched
MATCH-0000130,PAYREC-000156,BTX-0000130,one_to_one,matched
MATCH-0000131,PAYREC-000157,BTX-0000131,one_to_one,matched
MATCH-0000132,PAYREC-000158,BTX-0000132,one_to_one,matched
MATCH-0000133,PAYREC-000159,BTX-0000133,one_to_one,matched
MATCH-0000134,PAYREC-000160,BTX-0000134,one_to_one,matched
MATCH-0000135,PAYREC-000161,BTX-0000135,one_to_one,matched
MATCH-0000136,PAYREC-000162,BTX-0000136,one_to_one,matched
MATCH-0000137,PAYREC-000164,BTX-0000137,one_to_one,matched
MATCH-0000138,PAYREC-000165,BTX-0000138,one_to_one,matched
MATCH-0000139,PAYREC-000166,BTX-0000139,one_to_one,matched
MATCH-0000140,PAYREC-000169,BTX-0000140,one_to_one,matched
MATCH-0000141,PAYREC-000171,BTX-0000141,one_to_one,matched
MATCH-0000142,PAYREC-000172,BTX-0000142,one_to_one,matched
MATCH-0000143,PAYREC-000173,BTX-0000143,one_to_one,matched
MATCH-0000144,PAYREC-000174,BTX-0000144,one_to_one,matched
MATCH-0000145,PAYREC-000175,BTX-0000145,one_to_one,matched
MATCH-0000146,PAYREC-000176,BTX-0000146,one_to_one,matched
MATCH-0000147,PAYREC-000177,BTX-0000147,one_to_one,matched
MATCH-0000148,PAYREC-000178,BTX-0000148,one_to_one,matched
MATCH-0000149,PAYREC-000179,BTX-0000149,one_to_one,matched
MATCH-0000150,PAYREC-000180,BTX-0000150,one_to_one,matched
MATCH-0000151,PAYREC-000181,BTX-0000151,one_to_one,matched
MATCH-0000152,PAYREC-000182,BTX-0000152,one_to_one,matched
MATCH-0000153,PAYREC-000183,BTX-0000153,one_to_one,matched
MATCH-0000154,PAYREC-000184,BTX-0000154,one_to_one,matched
MATCH-0000155,PAYREC-000185,BTX-0000155,one_to_one,matched
MATCH-0000156,PAYREC-000186,BTX-0000156,one_to_one,matched
MATCH-0000157,PAYREC-000187,BTX-0000157,one_to_one,matched
MATCH-0000158,PAYREC-000188,BTX-0000158,one_to_one,matched
MATCH-0000159,PAYREC-000189,BTX-0000159,one_to_one,matched
MATCH-0000160,PAYREC-000190,BTX-0000160,one_to_one,matched
MATCH-0000161,PAYREC-000192,BTX-0000161,one_to_one,matched
MATCH-0000162,PAYREC-000193,BTX-0000162,one_to_one,matched
MATCH-0000163,PAYREC-000194,BTX-0000163,one_to_one,matched
MATCH-0000164,PAYREC-000195,BTX-0000164,one_to_one,matched
MATCH-0000165,PAYREC-000196,BTX-0000165,one_to_one,matched
MATCH-0000166,PAYREC-000197,BTX-0000166,one_to_one,matched
MATCH-0000167,PAYREC-000198,BTX-0000167,one_to_one,matched
MATCH-0000168,PAYREC-000199,BTX-0000168,one_to_one,matched
MATCH-0000169,PAYREC-000200,BTX-0000169,one_to_one,matched
MATCH-0000170,PAYREC-000202,BTX-0000170,one_to_one,matched
MATCH-0000171,PAYREC-000204,BTX-0000171,one_to_one,matched
MATCH-0000172,PAYREC-000205,BTX-0000172,one_to_one,matched
MATCH-0000173,PAYREC-000206,BTX-0000173,one_to_one,matched
MATCH-0000174,PAYREC-000207,BTX-0000174,one_to_one,matched
MATCH-0000175,PAYREC-000208,BTX-0000175,one_to_one,matched
MATCH-0000176,PAYREC-000209,BTX-0000176,one_to_one,matched
MATCH-0000177,PAYREC-000210,BTX-0000177,one_to_one,matched
MATCH-0000178,PAYREC-000211,BTX-0000178,one_to_one,matched
MATCH-0000179,PAYREC-000212,BTX-0000179,one_to_one,matched
MATCH-0000180,PAYREC-000213,BTX-0000180,one_to_one,matched
MATCH-0000181,PAYREC-000214,BTX-0000181,one_to_one,matched
MATCH-0000182,PAYREC-000217,BTX-0000182,one_to_one,matched
MATCH-0000183,PAYREC-000218,BTX-0000183,one_to_one,matched
MATCH-0000184,PAYREC-000219,BTX-0000184,one_to_one,matched
MATCH-0000185,PAYREC-000220,BTX-0000185,one_to_one,matched
MATCH-0000186,PAYREC-000221,BTX-0000186,one_to_one,matched
MATCH-0000187,PAYREC-000222,BTX-0000187,one_to_one,matched
MATCH-0000188,PAYREC-000223,BTX-0000188,one_to_one,matched
MATCH-0000189,PAYREC-000224,BTX-0000189,one_to_one,matched
MATCH-0000190,PAYREC-000225,BTX-0000190,one_to_one,matched
MATCH-0000191,PAYREC-000226,BTX-0000191,one_to_one,matched
MATCH-0000192,PAYREC-000227,BTX-0000192,one_to_one,matched
MATCH-0000193,PAYREC-000229,BTX-0000193,one_to_one,matched
MATCH-0000194,PAYREC-000230,BTX-0000194,one_to_one,matched
MATCH-0000195,PAYREC-000231,BTX-0000195,one_to_one,matched
MATCH-0000196,PAYREC-000232,BTX-0000196,one_to_one,matched
MATCH-0000197,PAYREC-000233,BTX-0000197,one_to_one,matched
MATCH-0000198,PAYREC-000234,BTX-0000198,one_to_one,matched
MATCH-0000199,PAYREC-000235,BTX-0000199,one_to_one,matched
MATCH-0000200,PAYREC-000237,BTX-0000200,one_to_one,matched
MATCH-0000201,PAYREC-000238,BTX-0000201,one_to_one,matched
MATCH-0000202,PAYREC-000239,BTX-0000202,one_to_one,matched
MATCH-0000203,PAYREC-000241,BTX-0000203,one_to_one,matched
MATCH-0000204,PAYREC-000242,BTX-0000204,one_to_one,matched
MATCH-0000205,PAYREC-000243,BTX-0000205,one_to_one,matched
MATCH-0000206,PAYREC-000244,BTX-0000206,one_to_one,matched
MATCH-0000207,PAYREC-000245,BTX-0000207,one_to_one,matched
MATCH-0000208,PAYREC-000247,BTX-0000208,one_to_one,matched
MATCH-0000209,PAYREC-000250,BTX-0000209,one_to_one,matched
MATCH-0000210,PAYREC-000253,BTX-0000210,one_to_one,matched
MATCH-0000211,PAYREC-000254,BTX-0000211,one_to_one,matched
MATCH-0000212,PAYREC-000255,BTX-0000212,one_to_one,matched
MATCH-0000213,PAYREC-000256,BTX-0000213,one_to_one,matched
MATCH-0000214,PAYREC-000257,BTX-0000214,one_to_one,matched
MATCH-0000215,PAYREC-000258,BTX-0000215,one_to_one,matched
MATCH-0000216,PAYREC-000259,BTX-0000216,one_to_one,matched
MATCH-0000217,PAYREC-000261,BTX-0000217,one_to_one,matched
MATCH-0000218,PAYREC-000263,BTX-0000218,one_to_one,matched
MATCH-0000219,PAYREC-000264,BTX-0000219,one_to_one,matched
MATCH-0000220,PAYREC-000265,BTX-0000220,one_to_one,matched
MATCH-0000221,PAYREC-000266,BTX-0000221,one_to_one,matched
MATCH-0000222,PAYREC-000267,BTX-0000222,one_to_one,matched
MATCH-0000223,PAYREC-000268,BTX-0000223,one_to_one,matched
MATCH-0000224,PAYREC-000269,BTX-0000224,one_to_one,matched
MATCH-0000225,PAYREC-000270,BTX-0000225,one_to_one,matched
MATCH-0000226,PAYREC-000271,BTX-0000226,one_to_one,matched
MATCH-0000227,PAYREC-000272,BTX-0000227,one_to_one,matched
MATCH-0000228,PAYREC-000273,BTX-0000228,one_to_one,matched
MATCH-0000229,PAYREC-000274,BTX-0000229,one_to_one,matched
MATCH-0000230,PAYREC-000276,BTX-0000230,one_to_one,matched
MATCH-0000231,PAYREC-000278,BTX-0000231,one_to_one,matched
MATCH-0000232,PAYREC-000279,BTX-0000232,one_to_one,matched
MATCH-0000233,PAYREC-000282,BTX-0000233,one_to_one,matched
MATCH-0000234,PAYREC-000283,BTX-0000234,one_to_one,matched
MATCH-0000235,PAYREC-000284,BTX-0000235,one_to_one,matched
MATCH-0000236,PAYREC-000286,BTX-0000236,one_to_one,matched
MATCH-0000237,PAYREC-000287,BTX-0000237,one_to_one,matched
MATCH-0000238,PAYREC-000288,BTX-0000238,one_to_one,matched
MATCH-0000239,PAYREC-000289,BTX-0000239,one_to_one,matched
MATCH-0000240,PAYREC-000290,BTX-0000240,one_to_one,matched
MATCH-0000241,PAYREC-000291,BTX-0000241,one_to_one,matched
MATCH-0000242,PAYREC-000292,BTX-0000242,one_to_one,matched
MATCH-0000243,PAYREC-000295,BTX-0000243,one_to_one,matched
MATCH-0000244,PAYREC-000296,BTX-0000244,one_to_one,matched
MATCH-0000245,PAYREC-000297,BTX-0000245,one_to_one,matched
MATCH-0000246,PAYREC-000298,BTX-0000246,one_to_one,matched
MATCH-0000247,PAYREC-000299,BTX-0000247,one_to_one,matched
MATCH-0000248,PAYREC-000301,BTX-0000248,one_to_one,matched
MATCH-0000249,PAYREC-000302,BTX-0000249,one_to_one,matched
MATCH-0000250,PAYREC-000303,BTX-0000250,one_to_one,matched
MATCH-0000251,PAYREC-000304,BTX-0000251,one_to_one,matched
MATCH-0000252,PAYREC-000305,BTX-0000252,one_to_one,matched
MATCH-0000253,PAYREC-000306,BTX-0000253,one_to_one,matched
MATCH-0000254,PAYREC-000307,BTX-0000254,one_to_one,matched
MATCH-0000255,PAYREC-000308,BTX-0000255,one_to_one,matched
MATCH-0000256,PAYREC-000309,BTX-0000256,one_to_one,matched
MATCH-0000257,PAYREC-000310,BTX-0000257,one_to_one,matched
MATCH-0000258,PAYREC-000311,BTX-0000258,one_to_one,matched
MATCH-0000259,PAYREC-000313,BTX-0000259,one_to_one,matched
MATCH-0000260,PAYREC-000315,BTX-0000260,one_to_one,matched
MATCH-0000261,PAYREC-000316,BTX-0000261,one_to_one,matched
MATCH-0000262,PAYREC-000317,BTX-0000262,one_to_one,matched
MATCH-0000263,PAYREC-000318,BTX-0000263,one_to_one,matched
MATCH-0000264,PAYREC-000319,BTX-0000264,one_to_one,matched
MATCH-0000265,PAYREC-000320,BTX-0000265,one_to_one,matched
MATCH-0000266,PAYREC-000321,BTX-0000266,one_to_one,matched
MATCH-0000267,PAYREC-000323,BTX-0000267,one_to_one,matched
MATCH-0000268,PAYREC-000324,BTX-0000268,one_to_one,matched
MATCH-0000269,PAYREC-000325,BTX-0000269,one_to_one,matched
MATCH-0000270,PAYREC-000326,BTX-0000270,one_to_one,matched
MATCH-0000271,PAYREC-000327,BTX-0000271,one_to_one,matched
MATCH-0000272,PAYREC-000328,BTX-0000272,one_to_one,matched
MATCH-0000273,PAYREC-000329,BTX-0000273,one_to_one,matched
MATCH-0000274,PAYREC-000331,BTX-0000274,one_to_one,matched
MATCH-0000275,PAYREC-000332,BTX-0000275,one_to_one,matched
MATCH-0000276,PAYREC-000333,BTX-0000276,one_to_one,matched
MATCH-0000277,PAYREC-000336,BTX-0000277,one_to_one,matched
MATCH-0000278,PAYREC-000337,BTX-0000278,one_to_one,matched
MATCH-0000279,PAYREC-000338,BTX-0000279,one_to_one,matched
MATCH-0000280,PAYREC-000339,BTX-0000280,one_to_one,matched
MATCH-0000281,PAYREC-000340,BTX-0000281,one_to_one,matched
MATCH-0000282,PAYREC-000341,BTX-0000282,one_to_one,matched
MATCH-0000283,PAYREC-000342,BTX-0000283,one_to_one,matched
MATCH-0000284,PAYREC-000343,BTX-0000284,one_to_one,matched
MATCH-0000285,PAYREC-000345,BTX-0000285,one_to_one,matched
MATCH-0000286,PAYREC-000346,BTX-0000286,one_to_one,matched
MATCH-0000287,PAYREC-000347,BTX-0000287,one_to_one,matched
MATCH-0000288,PAYREC-000348,BTX-0000288,one_to_one,matched
MATCH-0000289,PAYREC-000349,BTX-0000289,one_to_one,matched
MATCH-0000290,PAYREC-000350,BTX-0000290,one_to_one,matched
MATCH-0000291,PAYREC-000351,BTX-0000291,one_to_one,matched
MATCH-0000292,PAYREC-000352,BTX-0000292,one_to_one,matched
MATCH-0000293,PAYREC-000354,BTX-0000293,one_to_one,matched
MATCH-0000294,PAYREC-000355,BTX-0000294,one_to_one,matched
MATCH-0000295,PAYREC-000356,BTX-0000295,one_to_one,matched
MATCH-0000296,PAYREC-000357,BTX-0000296,one_to_one,matched
MATCH-0000297,PAYREC-000359,BTX-0000297,one_to_one,matched
MATCH-0000298,PAYREC-000360,BTX-0000298,one_to_one,matched
MATCH-0000299,PAYREC-000361,BTX-0000299,one_to_one,matched
MATCH-0000300,PAYREC-000362,BTX-0000300,one_to_one,matched
MATCH-0000301,PAYREC-000363,BTX-0000301,one_to_one,matched
MATCH-0000302,PAYREC-000365,BTX-0000302,one_to_one,matched
MATCH-0000303,PAYREC-000366,BTX-0000303,one_to_one,matched
MATCH-0000304,PAYREC-000367,BTX-0000304,one_to_one,matched
MATCH-0000305,PAYREC-000368,BTX-0000305,one_to_one,matched
MATCH-0000306,PAYREC-000369,BTX-0000306,one_to_one,matched
MATCH-0000307,PAYREC-000371,BTX-0000307,one_to_one,matched
MATCH-0000308,PAYREC-000372,BTX-0000308,one_to_one,matched
MATCH-0000309,PAYREC-000373,BTX-0000309,one_to_one,matched
MATCH-0000310,PAYREC-000374,BTX-0000310,one_to_one,matched
MATCH-0000311,PAYREC-000376,BTX-0000311,one_to_one,matched
MATCH-0000312,PAYREC-000377,BTX-0000312,one_to_one,matched
MATCH-0000313,PAYREC-000378,BTX-0000313,one_to_one,matched
MATCH-0000314,PAYREC-000379,BTX-0000314,one_to_one,matched
MATCH-0000315,PAYREC-000381,BTX-0000315,one_to_one,matched
MATCH-0000316,PAYREC-000382,BTX-0000316,one_to_one,matched
MATCH-0000317,PAYREC-000384,BTX-0000317,one_to_one,matched
MATCH-0000318,PAYREC-000385,BTX-0000318,one_to_one,matched
MATCH-0000319,PAYREC-000386,BTX-0000319,one_to_one,matched
MATCH-0000320,PAYREC-000388,BTX-0000320,one_to_one,matched
MATCH-0000321,PAYREC-000389,BTX-0000321,one_to_one,matched
MATCH-0000322,PAYREC-000390,BTX-0000322,one_to_one,matched
MATCH-0000323,PAYREC-000391,BTX-0000323,one_to_one,matched
MATCH-0000324,PAYREC-000392,BTX-0000324,one_to_one,matched
MATCH-0000325,PAYREC-000393,BTX-0000325,one_to_one,matched
MATCH-0000326,PAYREC-000394,BTX-0000326,one_to_one,matched
MATCH-0000327,PAYREC-000395,BTX-0000327,one_to_one,matched
MATCH-0000328,PAYREC-000397,BTX-0000328,one_to_one,matched
MATCH-0000329,PAYREC-000398,BTX-0000329,one_to_one,matched
MATCH-0000330,PAYREC-000400,BTX-0000330,one_to_one,matched
MATCH-0000331,PAYREC-000402,BTX-0000331,one_to_one,matched
MATCH-0000332,PAYREC-000403,BTX-0000332,one_to_one,matched
MATCH-0000333,PAYREC-000405,BTX-0000333,one_to_one,matched
MATCH-0000334,PAYREC-000406,BTX-0000334,one_to_one,matched
MATCH-0000335,PAYREC-000407,BTX-0000335,one_to_one,matched
MATCH-0000336,PAYREC-000408,BTX-0000336,one_to_one,matched
MATCH-0000337,PAYREC-000410,BTX-0000337,one_to_one,matched
MATCH-0000338,PAYREC-000411,BTX-0000338,one_to_one,matched
MATCH-0000339,PAYREC-000412,BTX-0000339,one_to_one,matched
MATCH-0000340,PAYREC-000414,BTX-0000340,one_to_one,matched
MATCH-0000341,PAYREC-000415,BTX-0000341,one_to_one,matched
MATCH-0000342,PAYREC-000416,BTX-0000342,one_to_one,matched
MATCH-0000343,PAYREC-000417,BTX-0000343,one_to_one,matched
MATCH-0000344,PAYREC-000418,BTX-0000344,one_to_one,matched
MATCH-0000345,PAYREC-000419,BTX-0000345,one_to_one,matched
MATCH-0000346,PAYREC-000420,BTX-0000346,one_to_one,matched
MATCH-0000347,PAYREC-000421,BTX-0000347,one_to_one,matched
MATCH-0000348,PAYREC-000424,BTX-0000348,one_to_one,matched
MATCH-0000349,PAYREC-000425,BTX-0000349,one_to_one,matched
MATCH-0000350,PAYREC-000427,BTX-0000350,one_to_one,matched
MATCH-0000351,PAYREC-000428,BTX-0000351,one_to_one,matched
MATCH-0000352,PAYREC-000429,BTX-0000352,one_to_one,matched
MATCH-0000353,PAYREC-000431,BTX-0000353,one_to_one,matched
MATCH-0000354,PAYREC-000432,BTX-0000354,one_to_one,matched
MATCH-0000355,PAYREC-000433,BTX-0000355,one_to_one,matched
MATCH-0000356,PAYREC-000434,BTX-0000356,one_to_one,matched
MATCH-0000357,PAYREC-000435,BTX-0000357,one_to_one,matched
MATCH-0000358,PAYREC-000436,BTX-0000358,one_to_one,matched
MATCH-0000359,PAYREC-000437,BTX-0000359,one_to_one,matched
MATCH-0000360,PAYREC-000438,BTX-0000360,one_to_one,matched
MATCH-0000361,PAYREC-000439,BTX-0000361,one_to_one,matched
MATCH-0000362,PAYREC-000440,BTX-0000362,one_to_one,matched
MATCH-0000363,PAYREC-000441,BTX-0000363,one_to_one,matched
MATCH-0000364,PAYREC-000442,BTX-0000364,one_to_one,matched
MATCH-0000365,PAYREC-000443,BTX-0000365,one_to_one,matched
MATCH-0000366,PAYREC-000444,BTX-0000366,one_to_one,matched
MATCH-0000367,PAYREC-000445,BTX-0000367,one_to_one,matched
MATCH-0000368,PAYREC-000446,BTX-0000368,one_to_one,matched
MATCH-0000369,PAYREC-000447,BTX-0000369,one_to_one,matched
MATCH-0000370,PAYREC-000448,BTX-0000370,one_to_one,matched
MATCH-0000371,PAYREC-000450,BTX-0000371,one_to_one,matched
MATCH-0000372,PAYREC-000451,BTX-0000372,one_to_one,matched
MATCH-0000373,PAYREC-000452,BTX-0000373,one_to_one,matched
MATCH-0000374,PAYREC-000453,BTX-0000374,one_to_one,matched
MATCH-0000375,PAYREC-000454,BTX-0000375,one_to_one,matched
MATCH-0000376,PAYREC-000455,BTX-0000376,one_to_one,matched
MATCH-0000377,PAYREC-000456,BTX-0000377,one_to_one,matched
MATCH-0000378,PAYREC-000457,BTX-0000378,one_to_one,matched
MATCH-0000379,PAYREC-000458,BTX-0000379,one_to_one,matched
MATCH-0000380,PAYREC-000459,BTX-0000380,one_to_one,matched
MATCH-0000381,PAYREC-000460,BTX-0000381,one_to_one,matched
MATCH-0000382,PAYREC-000461,BTX-0000382,one_to_one,matched
MATCH-0000383,PAYREC-000462,BTX-0000383,one_to_one,matched
MATCH-0000384,PAYREC-000463,BTX-0000384,one_to_one,matched
MATCH-0000385,PAYREC-000465,BTX-0000385,one_to_one,matched
MATCH-0000386,PAYREC-000467,BTX-0000386,one_to_one,matched
MATCH-0000387,PAYREC-000468,BTX-0000387,one_to_one,matched
MATCH-0000388,PAYREC-000469,BTX-0000388,one_to_one,matched
MATCH-0000389,PAYREC-000472,BTX-0000389,one_to_one,matched
MATCH-0000390,PAYREC-000473,BTX-0000390,one_to_one,matched
MATCH-0000391,PAYREC-000474,BTX-0000391,one_to_one,matched
MATCH-0000392,PAYREC-000475,BTX-0000392,one_to_one,matched
MATCH-0000393,PAYREC-000476,BTX-0000393,one_to_one,matched
MATCH-0000394,PAYREC-000477,BTX-0000394,one_to_one,matched
MATCH-0000395,PAYREC-000478,BTX-0000395,one_to_one,matched
MATCH-0000396,PAYREC-000479,BTX-0000396,one_to_one,matched
MATCH-0000397,PAYREC-000480,BTX-0000397,one_to_one,matched
MATCH-0000398,PAYREC-000481,BTX-0000398,one_to_one,matched
