bank_transaction_id,booking_date,value_date,amount,currency,transaction_type,payer_name,payer_reference,bank_description,scenario_type,is_reversal,original_bank_transaction_id
BTX-0000193,2025-01-24,2025-01-24,3132.91,GBP,credit,Northstar Holdings,,Northstar Holdings,missing_reference,False,
BTX-0001291,2025-01-24,2025-01-24,2819.28,GBP,credit,Vertex Holdings,C0019-INV-101578,Vertex Holdings C0019-INV-101578,clean_reference,False,
BTX-0000829,2025-01-24,2025-01-24,3188.66,GBP,credit,CLEARWATER LIMITED,,CLEARWATER LIMITED,missing_reference,False,
BTX-0000912,2025-01-24,2025-01-24,2407.35,GBP,credit,NORTHSTAR TRADING,C0034 101127,NORTHSTAR TRADING C0034 101127,clean_reference,False,
BTX-0000744,2025-01-24,2025-01-24,3445.43,GBP,credit,BlueRock Ltd,,BlueRock Ltd,missing_reference,False,
BTX-0001132,2025-01-24,2025-01-24,2193.0,GBP,credit,BrightPath Ltd,C0060 101392,BrightPath Ltd C0060 101392,clean_reference,False,
BTX-0000140,2025-01-24,2025-01-24,201.75,GBP,credit,BlueRock Services,C0052 100169,BlueRock Services C0052 100169,clean_reference,False,
BTX-0001753,2025-01-24,2025-01-24,299.0,GBP,unexpected_credit,Redwood Holdings,ADVANCE PAYMENT,Redwood Holdings ADVANCE PAYMENT,unexpected_receipt,False,
BTX-0000316,2025-01-25,2025-01-25,2940.96,GBP,credit,Northstar Retail,0029100382,Northstar Retail 0029100382,truncated_reference,False,
BTX-0000733,2025-01-25,2025-01-25,1200.0,GBP,credit,Northstar Services,,Northstar Services,missing_reference,False,
BTX-0001127,2025-01-25,2025-01-25,299.0,GBP,credit,Vertex Retail,PAY INV-101387,Vertex Retail PAY INV-101387,clean_reference,False,
BTX-0001282,2025-01-25,2025-01-25,99.0,GBP,credit,Northstar Limited,PAY INV-101567,Northstar Limited PAY INV-101567,clean_reference,False,
BTX-0000797,2025-01-25,2025-01-25,199.0,GBP,credit,Redwood Trading,C0068-100977,Redwood Trading C0068-100977,truncated_reference,False,
BTX-0000735,2025-01-26,2025-01-26,1742.47,GBP,credit,BlueRock Group,C0030-INV-100904,BlueRock Group C0030-INV-100904,clean_reference,False,
BTX-0000895,2025-01-26,2025-01-26,2108.48,GBP,credit,Northstar Limited,C0056 101104,Northstar Limited C0056 101104,clean_reference,False,
BTX-0001224,2025-01-26,2025-01-26,249.4,GBP,credit,Acme Retail,PAY INV,Acme Retail PAY INV,truncated_reference,False,
BTX-0001036,2025-01-26,2025-01-26,2986.22,GBP,credit,Vertex Group,101281,Vertex Group 101281,truncated_reference,False,
BTX-0001217,2025-01-26,2025-01-26,2407.45,GBP,credit,Harbour Limited,,Harbour Limited,missing_reference,False,
BTX-0001645,2025-01-26,2025-01-26,149.0,GBP,unexpected_credit,Summit Retail,ADVANCE PAYMENT,Summit Retail ADVANCE PAYMENT,unexpected_receipt,False,
BTX-0001305,2025-01-26,2025-01-26,697.43,GBP,credit,Northstar Limited,C0056 101594,Northstar Limited C0056 101594,clean_reference,False,
BTX-0000383,2025-01-26,2025-01-26,2500.0,GBP,credit,ACME TRADING,,ACME TRADING,missing_reference,False,
BTX-0000190,2025-01-26,2025-01-26,2388.65,GBP,credit,Vertex Holdings,C0019-INV-100225,Vertex Holdings C0019-INV-100225,clean_reference,False,
BTX-0000678,2025-01-26,2025-01-26,399.0,GBP,credit,MAPLE LIMITED,C0001 100836,MAPLE LIMITED C0001 100836,clean_reference,False,
BTX-0001441,2025-01-26,2025-01-26,2922.9,GBP,credit,ClearWater Distribution,INV-101760,ClearWater Distribution INV-101760,clean_reference,False,
BTX-0000210,2025-01-27,2025-01-27,1842.65,GBP,credit,Redwood Retail,INV-100253,Redwood Retail INV-100253,clean_reference,False,
BTX-0000720,2025-01-27,2025-01-27,1200.0,GBP,credit,Harbour Limited,PAY INV-100885,Harbour Limited PAY INV-100885,clean_reference,False,
BTX-0001140,2025-01-27,2025-01-27,149.0,GBP,credit,IronBridge Distribution,C0045-INV-101401,IronBridge Distribution C0045-INV-101401,clean_reference,False,
BTX-0001451,2025-01-27,2025-01-27,1200.0,GBP,credit,IronBridge Ltd,INV-101771,IronBridge Ltd INV-101771,clean_reference,False,
BTX-0001540,2025-01-27,2025-01-27,2302.37,GBP,credit,Northstar Services,C0025-INV-101882,Northstar Services C0025-INV-101882,clean_reference,False,
BTX-0000333,2025-01-27,2025-01-27,2855.14,GBP,credit,CLEARWATER DISTRIBUTION,100405,CLEARWATER DISTRIBUTION 100405,truncated_reference,False,
BTX-0000536,2025-01-28,2025-01-28,1500.0,GBP,credit,Redwood Limited,,Redwood Limited,missing_reference,False,
BTX-0001266,2025-01-28,2025-01-28,125.0,GBP,credit,Maple Trading,PAY INV-101550,Maple Trading PAY INV-101550,clean_reference,False,
BTX-0001755,2025-01-28,2025-01-28,149.0,GBP,unexpected_credit,Legacy Payer,TRANSFER,Legacy Payer TRANSFER,unexpected_receipt,False,
BTX-0000367,2025-01-28,2025-01-28,125.0,GBP,credit,BlueRock Solutions,INV-100445,BlueRock Solutions INV-100445,clean_reference,False,
BTX-0001401,2025-01-28,2025-01-28,3997.79,GBP,credit,Acme Retail,,Acme Retail,missing_reference,False,
BTX-0000146,2025-01-28,2025-01-28,321.17,GBP,credit,SILVERLINE HOLDINGS,C0040 100176,SILVERLINE HOLDINGS C0040 100176,clean_reference,False,
BTX-0000663,2025-01-28,2025-01-28,2072.8,GBP,credit,BlueRock Group,INV-100819,BlueRock Group INV-100819,clean_reference,False,
BTX-0001706,2025-01-28,2025-01-28,2500.0,GBP,unexpected_credit,Legacy Payer,MISC,Legacy Payer MISC,unexpected_receipt,False,
BTX-0001557,2025-01-28,2025-01-28,3647.2,GBP,credit,Redwood Group,PAY INV-101903,Redwood Group PAY INV-101903,clean_reference,False,
BTX-0000409,2025-01-28,2025-01-28,1531.31,GBP,credit,Summit Trading,100494,Summit Trading 100494,truncated_reference,False,
BTX-0001597,2025-01-28,2025-01-28,1799.17,GBP,credit,REDWOOD HOLDINGS,INV-101948,REDWOOD HOLDINGS INV-101948,clean_reference,False,
BTX-0000734,2025-01-29,2025-01-29,159.55,GBP,credit,BrightPath Limited,C0042-INV-100902,BrightPath Limited C0042-INV-100902,clean_reference,False,
BTX-0000119,2025-01-29,2025-01-29,1075.43,GBP,credit,Maple Trading,100142,Maple Trading 100142,truncated_reference,False,
BTX-0001500,2025-01-29,2025-01-29,399.0,GBP,credit,VERTEX GROUP,PAY INV-101829,VERTEX GROUP PAY INV-101829,clean_reference,False,
BTX-0001361,2025-01-30,2025-01-30,4087.34,GBP,credit,MAPLE DISTRIBUTION,PAY INV-101663,MAPLE DISTRIBUTION PAY INV-101663,clean_reference,False,
BTX-0001748,2025-01-30,2025-01-30,3073.19,GBP,unexpected_credit,Unknown Sender,MISC,Unknown Sender MISC,unexpected_receipt,False,
BTX-0000597,2025-01-30,2025-01-30,3004.56,GBP,credit,BrightPath Ltd,C0060-INV-100743,BrightPath Ltd C0060-INV-100743,clean_reference,False,
BTX-0000616,2025-01-30,2025-01-30,660.01,GBP,credit,BlueRock Ltd,C0048 100767,BlueRock Ltd C0048 100767,clean_reference,False,
BTX-0000835,2025-01-30,2025-01-30,500.0,GBP,credit,Vertex Group,101023,Vertex Group 101023,truncated_reference,False,
BTX-0001847,2025-01-30,2025-01-30,-1075.43,GBP,reversal,Maple Trading,REV 100142,REVERSAL BTX-0000119,reversal,True,BTX-0000119
BTX-0001653,2025-01-30,2025-01-30,3715.07,GBP,unexpected_credit,Northstar Services,,Northstar Services,unexpected_receipt,False,
BTX-0001621,2025-01-30,2025-01-30,978.9,GBP,credit,Maple Solutions,C0075-101976,Maple Solutions C0075-101976,truncated_reference,False,
BTX-0000473,2025-01-30,2025-01-30,1500.0,GBP,credit,Redwood Holdings,C0038-INV-100579,Redwood Holdings C0038-INV-100579,clean_reference,False,
BTX-0001665,2025-01-30,2025-01-30,1181.41,GBP,unexpected_credit,Third Party Receipt,,Third Party Receipt,unexpected_receipt,False,
BTX-0001458,2025-01-30,2025-01-30,659.07,GBP,credit,IRONBRIDGE SERVICES,PAY INV-101779,IRONBRIDGE SERVICES PAY INV-101779,clean_reference,False,
BTX-0001048,2025-01-30,2025-01-30,3376.87,GBP,credit,BlueRock Ltd,C0048-INV-101297,BlueRock Ltd C0048-INV-101297,clean_reference,False,
BTX-0001827,2025-01-30,2025-01-30,299.0,GBP,unexpected_credit,Northstar Services,ADVANCE PAYMENT,Northstar Services ADVANCE PAYMENT,unexpected_receipt,False,
BTX-0000628,2025-01-31,2025-01-31,4216.88,GBP,credit,REDWOOD PARTNERS,PAY INV-100781,REDWOOD PARTNERS PAY INV-100781,clean_reference,False,
BTX-0000623,2025-01-31,2025-01-31,4760.12,GBP,credit,Vertex Retail,C0033-INV-100774,Vertex Retail C0033-INV-100774,clean_reference,False,
BTX-0000746,2025-01-31,2025-01-31,750.0,GBP,credit,Vertex Distribution,PAY INV-100919,Vertex Distribution PAY INV-100919,clean_reference,False,
BTX-0000381,2025-01-31,2025-01-31,2829.83,GBP,credit,ACME TRADING,,ACME TRADING,missing_reference,False,
BTX-0001751,2025-01-31,2025-01-31,999.0,GBP,unexpected_credit,Silverline Trading,,Silverline Trading,unexpected_receipt,False,
BTX-0001374,2025-01-31,2025-01-31,3814.44,GBP,credit,Summit Retail,C0043-101679,Summit Retail C0043-101679,truncated_reference,False,
BTX-0001333,2025-01-31,2025-01-31,1684.74,GBP,credit,SILVERLINE RETAIL,C0005-INV-101626,SILVERLINE RETAIL C0005-INV-101626,clean_reference,False,
BTX-0001839,2025-01-31,2025-01-31,3561.01,GBP,unexpected_credit,Unknown Sender,MISC,Unknown Sender MISC,unexpected_receipt,False,
BTX-0000751,2025-01-31,2025-01-31,250.0,GBP,credit,Redwood Partners,C0071 100924,Redwood Partners C0071 100924,clean_reference,False,
BTX-0001820,2025-01-31,2025-01-31,250.0,GBP,unexpected_credit,Vertex Limited,MISC C0007,Vertex Limited MISC C0007,unexpected_receipt,False,
BTX-0001414,2025-01-31,2025-01-31,750.0,GBP,credit,BlueRock Services,PAY INV-101726,BlueRock Services PAY INV-101726,clean_reference,False,
BTX-0000818,2025-01-31,2025-01-31,2224.46,GBP,credit,Acme Partners,INV-101004,Acme Partners INV-101004,clean_reference,False,
BTX-0000902,2025-01-31,2025-01-31,2372.7,GBP,credit,Vertex Distribution,INV-101114,Vertex Distribution INV-101114,clean_reference,False,
BTX-0000461,2025-01-31,2025-01-31,750.0,GBP,credit,ClearWater Limited,PAY INV-100565,ClearWater Limited PAY INV-100565,clean_reference,False,
BTX-0000870,2025-01-31,2025-01-31,299.76,GBP,credit,VERTEX LIMITED,,VERTEX LIMITED,missing_reference,False,
BTX-0000411,2025-01-31,2025-01-31,299.0,GBP,credit,MAPLE TRADING,C0073-INV-100496,MAPLE TRADING C0073-INV-100496,clean_reference,False,
BTX-0000583,2025-01-31,2025-01-31,4437.86,GBP,credit,Summit Services,C0058 ,Summit Services C0058 ,truncated_reference,False,
BTX-0000443,2025-01-31,2025-01-31,2128.09,GBP,credit,Silverline Holdings,PAY INV-100535,Silverline Holdings PAY INV-100535,clean_reference,False,
BTX-0001555,2025-02-01,2025-02-01,3900.03,GBP,credit,VERTEX PARTNERS,C0010 101901,VERTEX PARTNERS C0010 101901,clean_reference,False,
BTX-0000574,2025-02-01,2025-02-01,4823.95,GBP,credit,Northstar Retail,INV-100711,Northstar Retail INV-100711,clean_reference,False,
BTX-0000043,2025-02-01,2025-02-01,199.0,GBP,credit,BRIGHTPATH DISTRIBUTION,PAY INV-100047,BRIGHTPATH DISTRIBUTION PAY INV-100047,clean_reference,False,
BTX-0001615,2025-02-01,2025-02-01,2434.05,GBP,credit,Acme Solutions,C0039-INV-101969,Acme Solutions C0039-INV-101969,clean_reference,False,
BTX-0000770,2025-02-01,2025-02-01,299.0,GBP,credit,Acme Solutions,C0039-INV-100948,Acme Solutions C0039-INV-100948,clean_reference,False,
BTX-0001261,2025-02-01,2025-02-01,3560.53,GBP,credit,NORTHSTAR RETAIL,,NORTHSTAR RETAIL,missing_reference,False,
BTX-0001380,2025-02-01,2025-02-01,4164.54,GBP,credit,Acme Partners,C0027-INV-101685,Acme Partners C0027-INV-101685,clean_reference,False,
BTX-0000154,2025-02-02,2025-02-02,2643.61,GBP,credit,Northstar Limited,INV-100184,Northstar Limited INV-100184,clean_reference,False,
BTX-0000310,2025-02-02,2025-02-02,3635.31,GBP,credit,BlueRock Solutions,C0006-INV-100374,BlueRock Solutions C0006-INV-100374,clean_reference,False,
BTX-0001713,2025-02-02,2025-02-02,399.0,GBP,unexpected_credit,Summit Trading,MISC C0012,Summit Trading MISC C0012,unexpected_receipt,False,
BTX-0001428,2025-02-02,2025-02-02,989.8,GBP,credit,Vertex Solutions,PAY INV-101746,Vertex Solutions PAY INV-101746,clean_reference,False,
BTX-0000452,2025-02-02,2025-02-02,2500.0,GBP,credit,Harbour Distribution,C0014 100550,Harbour Distribution C0014 100550,truncated_reference,False,
BTX-0001649,2025-02-02,2025-02-02,4492.44,GBP,unexpected_credit,Legacy Payer,PAYMENT,Legacy Payer PAYMENT,unexpected_receipt,False,
BTX-0001145,2025-02-02,2025-02-02,3553.15,GBP,credit,BrightPath Limited,101406,BrightPath Limited 101406,truncated_reference,False,
BTX-0000893,2025-02-02,2025-02-02,671.47,GBP,credit,BrightPath Holdings,101102,BrightPath Holdings 101102,truncated_reference,False,
BTX-0001844,2025-02-02,2025-02-02,-3647.2,GBP,reversal,Redwood Group,REV PAY INV-101903,REVERSAL BTX-0001557,reversal,True,BTX-0001557
BTX-0000089,2025-02-02,2025-02-02,3424.91,GBP,credit,NORTHSTAR LIMITED,100109,NORTHSTAR LIMITED 100109,truncated_reference,False,
BTX-0001336,2025-02-02,2025-02-02,2468.64,GBP,credit,Redwood Partners,C0071 101630,Redwood Partners C0071 101630,truncated_reference,False,
BTX-0000015,2025-02-02,2025-02-02,806.39,GBP,credit,HARBOUR LIMITED,C0011-INV-100017,HARBOUR LIMITED C0011-INV-100017,clean_reference,False,
BTX-0001273,2025-02-02,2025-02-02,2271.86,GBP,credit,Northstar Retail,,Northstar Retail,missing_reference,False,
BTX-0000024,2025-02-03,2025-02-03,1097.72,GBP,credit,BRIGHTPATH LTD,PAY INV-100027,BRIGHTPATH LTD PAY INV-100027,clean_reference,False,
BTX-0001550,2025-02-03,2025-02-03,1444.98,GBP,credit,Maple Distribution,INV-101895,Maple Distribution INV-101895,clean_reference,False,
BTX-0001782,2025-02-03,2025-02-03,2226.1,GBP,unexpected_credit,Legacy Payer,,Legacy Payer,unexpected_receipt,False,
BTX-0000579,2025-02-03,2025-02-03,399.0,GBP,credit,BrightPath Solutions,PAY INV-100718,BrightPath Solutions PAY INV-100718,clean_reference,False,
BTX-0001277,2025-02-03,2025-02-03,2983.03,GBP,credit,ClearWater Group,PAY INV-101561,ClearWater Group PAY INV-101561,clean_reference,False,
BTX-0001731,2025-02-03,2025-02-03,1178.07,GBP,unexpected_credit,Third Party Receipt,,Third Party Receipt,unexpected_receipt,False,
BTX-0001754,2025-02-03,2025-02-03,1198.4,GBP,unexpected_credit,Acme Distribution,C0004,Acme Distribution C0004,unexpected_receipt,False,
BTX-0001360,2025-02-03,2025-02-03,1718.73,GBP,credit,SUMMIT TRADING,PAY INV-101661,SUMMIT TRADING PAY INV-101661,clean_reference,False,
BTX-0000468,2025-02-04,2025-02-04,4590.26,GBP,credit,BrightPath Ltd,,BrightPath Ltd,missing_reference,False,
BTX-0000731,2025-02-04,2025-02-04,750.0,GBP,credit,BLUEROCK GROUP,C0030-IN,BLUEROCK GROUP C0030-IN,truncated_reference,False,
BTX-0001172,2025-02-04,2025-02-04,783.42,GBP,credit,Vertex Distribution,PAY INV-101436,Vertex Distribution PAY INV-101436,clean_reference,False,
BTX-0000345,2025-02-04,2025-02-04,149.0,GBP,credit,Maple Distribution,INV-100419,Maple Distribution INV-100419,clean_reference,False,
BTX-0001170,2025-02-04,2025-02-04,99.0,GBP,credit,Acme Holdings,C0015-INV-101434,Acme Holdings C0015-INV-101434,clean_reference,False,
BTX-0001744,2025-02-04,2025-02-04,2922.07,GBP,unexpected_credit,Acme Partners,ON ACCOUNT,Acme Partners ON ACCOUNT,unexpected_receipt,False,
BTX-0000179,2025-02-04,2025-02-04,3866.93,GBP,credit,Maple Holdings,INV-100212,Maple Holdings INV-100212,clean_reference,False,
BTX-0001465,2025-02-04,2025-02-04,1115.3,GBP,credit,SILVERLINE RETAIL,C0005-INV-101787,SILVERLINE RETAIL C0005-INV-101787,clean_reference,False,
BTX-0001087,2025-02-04,2025-02-04,1424.97,GBP,credit,IronBridge Ltd,C0035 101345,IronBridge Ltd C0035 101345,clean_reference,False,
BTX-0001115,2025-02-04,2025-02-04,1997.8,GBP,credit,BlueRock Partners,C0037-INV-101374,BlueRock Partners C0037-INV-101374,clean_reference,False,
BTX-0000413,2025-02-04,2025-02-04,2500.0,GBP,credit,SILVERLINE TRADING,PAY INV-100498,SILVERLINE TRADING PAY INV-100498,clean_reference,False,
BTX-0000656,2025-02-04,2025-02-04,750.0,GBP,credit,ClearWater Partners,C0050-INV-100811,ClearWater Partners C0050-INV-100811,clean_reference,False,
BTX-0000325,2025-02-04,2025-02-04,2181.34,GBP,credit,BlueRock Partners,C0037 100393,BlueRock Partners C0037 100393,clean_reference,False,
BTX-0001364,2025-02-04,2025-02-04,109.31,GBP,credit,BrightPath Limited,,BrightPath Limited,missing_reference,False,
BTX-0001337,2025-02-04,2025-02-04,1454.9,GBP,credit,IRONBRIDGE SERVICES,PAY INV-101631,IRONBRIDGE SERVICES PAY INV-101631,clean_reference,False,
BTX-0000421,2025-02-04,2025-02-04,199.0,GBP,credit,Vertex Partners,C0010-INV-100507,Vertex Partners C0010-INV-100507,clean_reference,False,
BTX-0000084,2025-02-05,2025-02-05,3291.17,GBP,credit,Maple Services,100101,Maple Services 100101,truncated_reference,False,
BTX-0001836,2025-02-05,2025-02-05,4580.93,GBP,unexpected_credit,Redwood Services,,Redwood Services,unexpected_receipt,False,
BTX-0000178,2025-02-05,2025-02-05,3109.26,GBP,credit,Redwood Trading,C0068-INV-100211,Redwood Trading C0068-INV-100211,clean_reference,False,
BTX-0001499,2025-02-05,2025-02-05,78.76,GBP,credit,Silverline Trading,C0057-INV-101828,Silverline Trading C0057-INV-101828,clean_reference,False,
BTX-0000176,2025-02-05,2025-02-05,125.0,GBP,credit,ACME TRADING,,ACME TRADING,missing_reference,False,
BTX-0000100,2025-02-05,2025-02-05,496.16,GBP,credit,Silverline Trading,INV-100122,Silverline Trading INV-100122,clean_reference,False,
BTX-0000530,2025-02-05,2025-02-05,2500.0,GBP,credit,ClearWater Services,C0008-INV-100660,ClearWater Services C0008-INV-100660,clean_reference,False,
BTX-0001353,2025-02-05,2025-02-05,125.0,GBP,credit,Maple Distribution,,Maple Distribution,missing_reference,False,
BTX-0000994,2025-02-05,2025-02-05,1200.02,GBP,credit,REDWOOD HOLDINGS,,REDWOOD HOLDINGS,missing_reference,False,
BTX-0000139,2025-02-05,2025-02-05,3482.68,GBP,credit,BrightPath Distribution,,BrightPath Distribution,missing_reference,False,
BTX-0000309,2025-02-05,2025-02-05,3044.6,GBP,credit,Vertex Distribution,C0069 100373,Vertex Distribution C0069 100373,clean_reference,False,
BTX-0001318,2025-02-05,2025-02-05,2755.93,GBP,credit,Silverline Ltd,C0046-INV-101611,Silverline Ltd C0046-INV-101611,clean_reference,False,
BTX-0000329,2025-02-05,2025-02-05,2406.23,GBP,credit,SILVERLINE RETAIL,PAY 100398,SILVERLINE RETAIL PAY 100398,truncated_reference,False,
BTX-0000253,2025-02-05,2025-02-05,2094.15,GBP,credit,NORTHSTAR SERVICES,C0025-INV-100306,NORTHSTAR SERVICES C0025-INV-100306,clean_reference,False,
BTX-0000588,2025-02-05,2025-02-05,149.0,GBP,credit,Vertex Services,,Vertex Services,missing_reference,False,
BTX-0000555,2025-02-05,2025-02-05,2439.24,GBP,credit,ClearWater Services,PAY INV,ClearWater Services PAY INV,truncated_reference,False,
BTX-0001593,2025-02-05,2025-02-05,1968.79,GBP,credit,Northstar Limited,0056101944,Northstar Limited 0056101944,truncated_reference,False,
BTX-0001120,2025-02-05,2025-02-05,2500.0,GBP,credit,BrightPath Solutions,C0064 101380,BrightPath Solutions C0064 101380,clean_reference,False,
BTX-0001303,2025-02-05,2025-02-05,1200.0,GBP,credit,ClearWater Group,0013101591,ClearWater Group 0013101591,truncated_reference,False,
BTX-0001205,2025-02-06,2025-02-06,3608.46,GBP,credit,Harbour Limited,C0011-INV-101478,Harbour Limited C0011-INV-101478,clean_reference,False,
