payment_record_id,invoice_id,customer_id,customer_code,customer_name,invoice_number,expected_amount,currency,invoice_date,due_date,expected_payment_date,expected_reference,reference_quality_hint,scenario_type
PAYREC-000021,INVREC-000021,CUST-00062,C0062,Redwood Group,INV-100021,399.0,GBP,2025-01-01,2025-02-15,2025-02-21,C0062-INV-100021,high,matched
PAYREC-000022,INVREC-000022,CUST-00054,C0054,BrightPath Holdings,INV-100022,3036.1,GBP,2025-03-10,2025-04-09,2025-04-11,INV-100022,high,matched
PAYREC-000023,INVREC-000023,CUST-00029,C0029,Northstar Retail,INV-100023,193.67,GBP,2025-03-04,2025-03-18,2025-03-20,INV-100023,low,matched
PAYREC-000024,INVREC-000024,CUST-00044,C0044,Redwood Services,INV-100024,866.97,GBP,2025-03-27,2025-04-26,2025-04-28,INV-100024,medium,matched
PAYREC-000025,INVREC-000025,CUST-00060,C0060,BrightPath Ltd,INV-100025,4539.3,GBP,2025-01-17,2025-03-03,2025-03-05,INV-100025,low,matched
PAYREC-000026,INVREC-000026,CUST-00073,C0073,Maple Trading,INV-100026,721.71,GBP,2025-03-26,2025-04-02,2025-03-29,C0073 100026,medium,matched
PAYREC-000027,INVREC-000027,CUST-00060,C0060,BrightPath Ltd,INV-100027,1097.72,GBP,2025-01-24,2025-01-31,2025-02-02,PAY INV-100027,low,matched
PAYREC-000028,INVREC-000028,CUST-00042,C0042,BrightPath Limited,INV-100028,3772.45,GBP,2025-02-13,2025-03-15,2025-03-23,C0042-INV-100028,low,matched
PAYREC-000029,INVREC-000029,CUST-00054,C0054,BrightPath Holdings,INV-100029,3757.67,GBP,2025-02-02,2025-03-04,2025-03-04,PAY INV-100029,high,matched
PAYREC-000030,INVREC-000030,CUST-00007,C0007,Vertex Limited,INV-100030,1200.0,GBP,2025-02-14,2025-02-28,2025-03-01,C0007-INV-100030,high,matched
PAYREC-000031,INVREC-000031,CUST-00006,C0006,BlueRock Solutions,INV-100031,99.0,GBP,2025-01-04,2025-02-18,2025-02-28,INV-100031,high,unmatched_expected
PAYREC-000032,INVREC-000032,CUST-00020,C0020,Acme Limited,INV-100032,2841.65,GBP,2025-01-31,2025-02-14,2025-02-13,PAY INV-100032,high,matched
PAYREC-000033,INVREC-000033,CUST-00028,C0028,Harbour Holdings,INV-100033,880.56,GBP,2025-03-01,2025-03-31,2025-04-06,C0028 100033,low,matched
PAYREC-000034,INVREC-000034,CUST-00015,C0015,Acme Holdings,INV-100034,99.0,GBP,2025-01-21,2025-03-07,2025-03-10,INV-100034,medium,matched
PAYREC-000035,INVREC-000035,CUST-00040,C0040,Silverline Holdings,INV-100035,2013.44,GBP,2025-03-15,2025-04-14,2025-04-14,PAY INV-100035,high,matched
PAYREC-000036,INVREC-000036,CUST-00026,C0026,Vertex Group,INV-100036,1252.1,GBP,2025-01-10,2025-02-09,2025-02-08,C0026-INV-100036,medium,matched
PAYREC-000037,INVREC-000037,CUST-00039,C0039,Acme Solutions,INV-100037,999.0,GBP,2025-03-29,2025-04-28,2025-04-27,INV-100037,medium,matched
PAYREC-000038,INVREC-000038,CUST-00006,C0006,BlueRock Solutions,INV-100038,391.34,GBP,2025-02-14,2025-03-16,2025-03-25,INV-100038,high,matched
PAYREC-000039,INVREC-000039,CUST-00044,C0044,Redwood Services,INV-100039,572.42,GBP,2025-01-02,2025-02-01,2025-02-04,C0044-INV-100039,medium,matched
PAYREC-000040,INVREC-000040,CUST-00047,C0047,Acme Ltd,INV-100040,807.31,GBP,2025-03-23,2025-04-22,2025-04-26,PAY INV-100040,medium,matched
PAYREC-000041,INVREC-000041,CUST-00023,C0023,Harbour Solutions,INV-100041,2500.0,GBP,2025-03-08,2025-04-22,2025-04-21,C0023-INV-100041,high,matched
PAYREC-000042,INVREC-000042,CUST-00069,C0069,Vertex Distribution,INV-100042,2982.75,GBP,2025-03-03,2025-04-02,2025-04-01,PAY INV-100042,low,matched
PAYREC-000043,INVREC-000043,CUST-00042,C0042,BrightPath Limited,INV-100043,500.0,GBP,2025-02-01,2025-03-03,2025-03-06,C0042-INV-100043,low,matched
PAYREC-000044,INVREC-000044,CUST-00032,C0032,IronBridge Holdings,INV-100044,1715.16,GBP,2025-03-01,2025-03-31,2025-03-30,C0032-INV-100044,high,matched
PAYREC-000045,INVREC-000045,CUST-00064,C0064,BrightPath Solutions,INV-100045,2500.0,GBP,2025-02-11,2025-02-25,2025-03-02,PAY INV-100045,medium,matched
PAYREC-000046,INVREC-000046,CUST-00034,C0034,Northstar Trading,INV-100046,4406.53,GBP,2025-02-13,2025-02-27,2025-03-01,C0034-INV-100046,medium,matched
PAYREC-000047,INVREC-000047,CUST-00072,C0072,BrightPath Distribution,INV-100047,199.0,GBP,2025-01-02,2025-02-01,2025-01-31,PAY INV-100047,low,matched
PAYREC-000048,INVREC-000048,CUST-00053,C0053,Acme Retail,INV-100048,500.0,GBP,2025-03-04,2025-04-03,2025-04-03,PAY INV-100048,medium,matched
PAYREC-000049,INVREC-000049,CUST-00063,C0063,Acme Trading,INV-100049,199.0,GBP,2025-02-27,2025-03-29,2025-03-27,C0063 100049,high,matched
PAYREC-000050,INVREC-000050,CUST-00052,C0052,BlueRock Services,INV-100050,1876.65,GBP,2025-03-30,2025-04-13,2025-04-20,C0052 100050,low,matched
PAYREC-000051,INVREC-000051,CUST-00071,C0071,Redwood Partners,INV-100051,2774.42,GBP,2025-03-09,2025-04-08,2025-04-08,PAY INV-100051,high,matched
PAYREC-000052,INVREC-000052,CUST-00046,C0046,Silverline Ltd,INV-100052,199.0,GBP,2025-03-31,2025-04-30,2025-04-30,C0046-INV-100052,medium,unmatched_expected
PAYREC-000053,INVREC-000053,CUST-00016,C0016,Northstar Holdings,INV-100053,4756.84,GBP,2025-01-25,2025-02-24,2025-02-25,C0016 100053,medium,matched
PAYREC-000054,INVREC-000054,CUST-00024,C0024,IronBridge Services,INV-100054,3636.7,GBP,2025-01-25,2025-02-08,2025-02-07,PAY INV-100054,medium,matched
PAYREC-000055,INVREC-000055,CUST-00068,C0068,Redwood Trading,INV-100055,199.0,GBP,2025-03-18,2025-04-01,2025-04-01,C0068-INV-100055,high,matched
PAYREC-000056,INVREC-000056,CUST-00038,C0038,Redwood Holdings,INV-100056,1500.0,GBP,2025-01-30,2025-03-01,2025-03-03,C0038 100056,medium,matched
PAYREC-000057,INVREC-000057,CUST-00069,C0069,Vertex Distribution,INV-100057,2789.13,GBP,2025-01-17,2025-01-31,2025-02-02,C0069 100057,low,unmatched_expected
PAYREC-000058,INVREC-000058,CUST-00017,C0017,Redwood Retail,INV-100058,4369.96,GBP,2025-03-23,2025-04-22,2025-04-25,PAY INV-100058,high,matched
PAYREC-000059,INVREC-000059,CUST-00074,C0074,Vertex Solutions,INV-100059,962.6,GBP,2025-02-06,2025-03-08,2025-03-09,INV-100059,medium,matched
PAYREC-000060,INVREC-000060,CUST-00007,C0007,Vertex Limited,INV-100060,4119.47,GBP,2025-02-02,2025-03-19,2025-03-29,C0007 100060,high,matched
PAYREC-000061,INVREC-000061,CUST-00052,C0052,BlueRock Services,INV-100061,315.36,GBP,2025-03-04,2025-03-11,2025-03-18,C0052-INV-100061,low,unmatched_expected
PAYREC-000062,INVREC-000062,CUST-00020,C0020,Acme Limited,INV-100062,199.0,GBP,2025-03-14,2025-04-28,2025-05-01,PAY INV-100062,high,unmatched_expected
PAYREC-000063,INVREC-000063,CUST-00016,C0016,Northstar Holdings,INV-100063,3964.17,GBP,2025-03-13,2025-04-12,2025-04-13,INV-100063,medium,unmatched_expected
PAYREC-000064,INVREC-000064,CUST-00029,C0029,Northstar Retail,INV-100064,1521.9,GBP,2025-03-08,2025-04-07,2025-04-09,C0029-INV-100064,low,matched
PAYREC-000065,INVREC-000065,CUST-00055,C0055,Vertex Services,INV-100065,1500.0,GBP,2025-02-09,2025-03-11,2025-03-10,PAY INV-100065,medium,matched
PAYREC-000066,INVREC-000066,CUST-00013,C0013,ClearWater Group,INV-100066,125.0,GBP,2025-01-27,2025-02-26,2025-03-01,C0013 100066,high,matched
PAYREC-000067,INVREC-000067,CUST-00021,C0021,ClearWater Limited,INV-100067,99.0,GBP,2025-01-31,2025-02-14,2025-02-15,PAY INV-100067,medium,matched
PAYREC-000068,INVREC-000068,CUST-00053,C0053,Acme Retail,INV-100068,211.57,GBP,2025-02-27,2025-03-29,2025-03-27,INV-100068,medium,matched
PAYREC-000069,INVREC-000069,CUST-00037,C0037,BlueRock Partners,INV-100069,3452.56,GBP,2025-02-06,2025-03-08,2025-03-07,C0037-INV-100069,high,matched
PAYREC-000070,INVREC-000070,CUST-00034,C0034,Northstar Trading,INV-100070,1029.21,GBP,2025-03-22,2025-04-21,2025-04-22,C0034 100070,medium,unmatched_expected
PAYREC-000071,INVREC-000071,CUST-00015,C0015,Acme Holdings,INV-100071,250.0,GBP,2025-03-11,2025-03-25,2025-03-25,PAY INV-100071,medium,unmatched_expected
PAYREC-000072,INVREC-000072,CUST-00019,C0019,Vertex Holdings,INV-100072,2995.47,GBP,2025-01-10,2025-01-17,2025-01-17,INV-100072,high,matched
PAYREC-000073,INVREC-000073,CUST-00073,C0073,Maple Trading,INV-100073,1555.25,GBP,2025-02-06,2025-03-08,2025-03-04,PAY INV-100073,medium,unmatched_expected
PAYREC-000074,INVREC-000074,CUST-00052,C0052,BlueRock Services,INV-100074,448.19,GBP,2025-02-04,2025-03-06,2025-03-12,C0052-INV-100074,low,matched
PAYREC-000075,INVREC-000075,CUST-00006,C0006,BlueRock Solutions,INV-100075,178.03,GBP,2025-02-25,2025-03-27,2025-04-02,INV-100075,high,matched
PAYREC-000076,INVREC-000076,CUST-00030,C0030,BlueRock Group,INV-100076,4756.39,GBP,2025-03-28,2025-04-27,2025-04-26,PAY INV-100076,low,matched
PAYREC-000077,INVREC-000077,CUST-00035,C0035,IronBridge Ltd,INV-100077,2378.98,GBP,2025-03-15,2025-03-22,2025-03-23,PAY INV-100077,low,matched
PAYREC-000078,INVREC-000078,CUST-00057,C0057,Silverline Trading,INV-100078,3192.18,GBP,2025-02-05,2025-02-19,2025-02-19,C0057 100078,medium,unmatched_expected
PAYREC-000079,INVREC-000079,CUST-00063,C0063,Acme Trading,INV-100079,1639.24,GBP,2025-01-12,2025-02-11,2025-02-10,PAY INV-100079,high,unmatched_expected
PAYREC-000080,INVREC-000080,CUST-00014,C0014,Harbour Distribution,INV-100080,1476.68,GBP,2025-01-21,2025-02-20,2025-02-20,INV-100080,high,matched
PAYREC-000081,INVREC-000081,CUST-00052,C0052,BlueRock Services,INV-100081,250.0,GBP,2025-03-12,2025-03-19,2025-03-26,PAY INV-100081,low,matched
PAYREC-000082,INVREC-000082,CUST-00042,C0042,BrightPath Limited,INV-100082,2597.25,GBP,2025-01-15,2025-03-01,2025-03-11,C0042-INV-100082,low,unmatched_expected
PAYREC-000083,INVREC-000083,CUST-00001,C0001,Maple Limited,INV-100083,318.31,GBP,2025-03-26,2025-04-25,2025-04-28,C0001-INV-100083,high,matched
PAYREC-000084,INVREC-000084,CUST-00067,C0067,Harbour Group,INV-100084,2238.1,GBP,2025-02-16,2025-03-18,2025-03-20,PAY INV-100084,high,matched
PAYREC-000085,INVREC-000085,CUST-00007,C0007,Vertex Limited,INV-100085,250.0,GBP,2025-01-27,2025-02-10,2025-02-20,INV-100085,high,matched
PAYREC-000086,INVREC-000086,CUST-00057,C0057,Silverline Trading,INV-100086,1200.0,GBP,2025-03-31,2025-04-30,2025-05-03,C0057 100086,medium,matched
PAYREC-000087,INVREC-000087,CUST-00031,C0031,BrightPath Partners,INV-100087,399.0,GBP,2025-01-21,2025-02-20,2025-02-22,PAY INV-100087,high,matched
PAYREC-000088,INVREC-000088,CUST-00012,C0012,Summit Trading,INV-100088,2334.17,GBP,2025-01-29,2025-03-15,2025-03-16,C0012-INV-100088,high,matched
PAYREC-000089,INVREC-000089,CUST-00016,C0016,Northstar Holdings,INV-100089,3597.19,GBP,2025-03-24,2025-04-23,2025-04-23,INV-100089,medium,matched
PAYREC-000090,INVREC-000090,CUST-00066,C0066,Acme Group,INV-100090,2387.49,GBP,2025-02-04,2025-03-06,2025-03-14,C0066 100090,high,matched
PAYREC-000091,INVREC-000091,CUST-00059,C0059,Maple Services,INV-100091,999.0,GBP,2025-03-12,2025-03-26,2025-03-25,PAY INV-100091,high,matched
PAYREC-000092,INVREC-000092,CUST-00066,C0066,Acme Group,INV-100092,2500.0,GBP,2025-01-18,2025-02-17,2025-02-24,INV-100092,high,unmatched_expected
PAYREC-000093,INVREC-000093,CUST-00054,C0054,BrightPath Holdings,INV-100093,4111.72,GBP,2025-02-13,2025-03-30,2025-03-29,C0054 100093,high,matched
PAYREC-000094,INVREC-000094,CUST-00037,C0037,BlueRock Partners,INV-100094,3316.71,GBP,2025-02-08,2025-03-10,2025-03-10,PAY INV-100094,high,matched
PAYREC-000095,INVREC-000095,CUST-00020,C0020,Acme Limited,INV-100095,750.0,GBP,2025-02-27,2025-03-29,2025-04-01,C0020 100095,high,unmatched_expected
PAYREC-000096,INVREC-000096,CUST-00070,C0070,ClearWater Solutions,INV-100096,199.0,GBP,2025-02-18,2025-03-20,2025-03-20,INV-100096,medium,matched
PAYREC-000097,INVREC-000097,CUST-00031,C0031,BrightPath Partners,INV-100097,2083.34,GBP,2025-03-15,2025-04-14,2025-04-15,INV-100097,high,matched
PAYREC-000098,INVREC-000098,CUST-00041,C0041,Summit Holdings,INV-100098,1961.09,GBP,2025-03-02,2025-04-01,2025-04-11,INV-100098,high,matched
PAYREC-000099,INVREC-000099,CUST-00020,C0020,Acme Limited,INV-100099,999.0,GBP,2025-03-05,2025-04-19,2025-04-21,PAY INV-100099,high,matched
PAYREC-000100,INVREC-000100,CUST-00043,C0043,Summit Retail,INV-100100,2653.46,GBP,2025-01-13,2025-02-12,2025-02-08,C0043 100100,high,matched
PAYREC-000101,INVREC-000101,CUST-00059,C0059,Maple Services,INV-100101,3291.17,GBP,2025-01-02,2025-02-01,2025-01-31,INV-100101,high,matched
PAYREC-000102,INVREC-000102,CUST-00020,C0020,Acme Limited,INV-100102,1725.88,GBP,2025-01-10,2025-02-09,2025-02-10,INV-100102,high,matched
PAYREC-000103,INVREC-000103,CUST-00051,C0051,ClearWater Distribution,INV-100103,1200.0,GBP,2025-03-25,2025-04-01,2025-03-31,C0051 100103,high,unmatched_expected
PAYREC-000104,INVREC-000104,CUST-00069,C0069,Vertex Distribution,INV-100104,4442.82,GBP,2025-02-18,2025-04-04,2025-04-03,C0069 100104,low,unmatched_expected
PAYREC-000105,INVREC-000105,CUST-00063,C0063,Acme Trading,INV-100105,1200.0,GBP,2025-03-11,2025-03-18,2025-03-18,PAY INV-100105,high,matched
PAYREC-000106,INVREC-000106,CUST-00037,C0037,BlueRock Partners,INV-100106,537.29,GBP,2025-01-30,2025-03-01,2025-03-02,PAY INV-100106,high,matched
PAYREC-000107,INVREC-000107,CUST-00013,C0013,ClearWater Group,INV-100107,99.0,GBP,2025-02-26,2025-03-12,2025-03-13,C0013 100107,high,matched
PAYREC-000108,INVREC-000108,CUST-00006,C0006,BlueRock Solutions,INV-100108,299.0,GBP,2025-02-11,2025-03-13,2025-03-15,PAY INV-100108,high,unmatched_expected
PAYREC-000109,INVREC-000109,CUST-00056,C0056,Northstar Limited,INV-100109,3424.91,GBP,2025-01-19,2025-02-02,2025-02-04,INV-100109,high,matched
PAYREC-000110,INVREC-000110,CUST-00024,C0024,IronBridge Services,INV-100110,1943.59,GBP,2025-01-22,2025-02-05,2025-02-07,PAY INV-100110,medium,unmatched_expected
PAYREC-000111,INVREC-000111,CUST-00031,C0031,BrightPath Partners,INV-100111,500.0,GBP,2025-03-05,2025-04-19,2025-04-21,C0031 100111,high,matched
PAYREC-000112,INVREC-000112,CUST-00033,C0033,Vertex Retail,INV-100112,2500.0,GBP,2025-02-28,2025-03-14,2025-03-13,PAY INV-100112,medium,matched
PAYREC-000113,INVREC-000113,CUST-00060,C0060,BrightPath Ltd,INV-100113,500.0,GBP,2025-02-06,2025-03-08,2025-03-11,INV-100113,low,matched
PAYREC-000114,INVREC-000114,CUST-00045,C0045,IronBridge Distribution,INV-100114,3467.05,GBP,2025-03-17,2025-03-31,2025-03-30,C0045-INV-100114,medium,matched
PAYREC-000115,INVREC-000115,CUST-00059,C0059,Maple Services,INV-100115,2441.88,GBP,2025-02-08,2025-02-22,2025-02-21,INV-100115,high,matched
PAYREC-000116,INVREC-000116,CUST-00031,C0031,BrightPath Partners,INV-100116,4963.83,GBP,2025-02-18,2025-03-20,2025-03-20,INV-100116,high,matched
PAYREC-000117,INVREC-000117,CUST-00038,C0038,Redwood Holdings,INV-100117,1408.68,GBP,2025-01-03,2025-02-17,2025-02-18,C0038 100117,medium,unmatched_expected
PAYREC-000118,INVREC-000118,CUST-00073,C0073,Maple Trading,INV-100118,4557.55,GBP,2025-03-29,2025-04-28,2025-04-24,C0073-INV-100118,medium,matched
PAYREC-000119,INVREC-000119,CUST-00064,C0064,BrightPath Solutions,INV-100119,2500.0,GBP,2025-02-06,2025-03-08,2025-03-10,C0064-INV-100119,medium,matched
PAYREC-000120,INVREC-000120,CUST-00046,C0046,Silverline Ltd,INV-100120,3404.93,GBP,2025-01-29,2025-02-28,2025-03-01,INV-100120,medium,matched
PAYREC-000121,INVREC-000121,CUST-00018,C0018,BrightPath Services,INV-100121,245.14,GBP,2025-03-22,2025-03-29,2025-03-28,PAY INV-100121,high,matched
PAYREC-000122,INVREC-000122,CUST-00057,C0057,Silverline Trading,INV-100122,496.16,GBP,2025-01-05,2025-02-04,2025-02-03,INV-100122,medium,matched
PAYREC-000123,INVREC-000123,CUST-00038,C0038,Redwood Holdings,INV-100123,149.0,GBP,2025-02-11,2025-03-13,2025-03-12,PAY INV-100123,medium,matched
PAYREC-000124,INVREC-000124,CUST-00070,C0070,ClearWater Solutions,INV-100124,4160.84,GBP,2025-02-16,2025-03-18,2025-03-17,PAY INV-100124,medium,matched
PAYREC-000125,INVREC-000125,CUST-00033,C0033,Vertex Retail,INV-100125,299.0,GBP,2025-03-03,2025-04-17,2025-04-18,C0033 100125,medium,matched
PAYREC-000126,INVREC-000126,CUST-00015,C0015,Acme Holdings,INV-100126,199.0,GBP,2025-03-01,2025-04-15,2025-04-16,C0015-INV-100126,medium,matched
PAYREC-000127,INVREC-000127,CUST-00051,C0051,ClearWater Distribution,INV-100127,118.9,GBP,2025-03-13,2025-04-12,2025-04-12,C0051 100127,high,unmatched_expected
PAYREC-000128,INVREC-000128,CUST-00069,C0069,Vertex Distribution,INV-100128,3378.09,GBP,2025-01-16,2025-02-15,2025-02-14,C0069-INV-100128,low,matched
PAYREC-000129,INVREC-000129,CUST-00075,C0075,Maple Solutions,INV-100129,586.31,GBP,2025-02-18,2025-03-20,2025-03-21,C0075-INV-100129,low,matched
PAYREC-000130,INVREC-000130,CUST-00030,C0030,BlueRock Group,INV-100130,2828.97,GBP,2025-03-02,2025-03-09,2025-03-12,C0030 100130,low,matched
PAYREC-000131,INVREC-000131,CUST-00029,C0029,Northstar Retail,INV-100131,4551.47,GBP,2025-03-24,2025-03-31,2025-04-02,INV-100131,low,matched
PAYREC-000132,INVREC-000132,CUST-00039,C0039,Acme Solutions,INV-100132,99.0,GBP,2025-03-25,2025-04-24,2025-04-23,C0039-INV-100132,medium,matched
PAYREC-000133,INVREC-000133,CUST-00039,C0039,Acme Solutions,INV-100133,750.0,GBP,2025-03-05,2025-03-19,2025-03-18,C0039 100133,medium,matched
PAYREC-000134,INVREC-000134,CUST-00018,C0018,BrightPath Services,INV-100134,3728.54,GBP,2025-02-19,2025-03-21,2025-03-23,PAY INV-100134,high,matched
PAYREC-000135,INVREC-000135,CUST-00070,C0070,ClearWater Solutions,INV-100135,4432.8,GBP,2025-02-23,2025-03-25,2025-03-26,C0070 100135,medium,matched
PAYREC-000136,INVREC-000136,CUST-00013,C0013,ClearWater Group,INV-100136,1434.71,GBP,2025-03-04,2025-04-03,2025-04-03,INV-100136,high,matched
PAYREC-000137,INVREC-000137,CUST-00048,C0048,BlueRock Ltd,INV-100137,4284.48,GBP,2025-01-28,2025-02-27,2025-02-28,PAY INV-100137,high,matched
PAYREC-000138,INVREC-000138,CUST-00013,C0013,ClearWater Group,INV-100138,3241.89,GBP,2025-03-29,2025-04-28,2025-04-27,PAY INV-100138,high,matched
PAYREC-000139,INVREC-000139,CUST-00008,C0008,ClearWater Services,INV-100139,4747.6,GBP,2025-02-20,2025-03-06,2025-03-09,C0008-INV-100139,medium,matched
PAYREC-000140,INVREC-000140,CUST-00059,C0059,Maple Services,INV-100140,3005.87,GBP,2025-01-12,2025-02-11,2025-02-11,INV-100140,high,matched
PAYREC-000141,INVREC-000141,CUST-00003,C0003,Redwood Ltd,INV-100141,149.0,GBP,2025-01-07,2025-02-06,2025-02-05,C0003 100141,high,matched
PAYREC-000142,INVREC-000142,CUST-00073,C0073,Maple Trading,INV-100142,1075.43,GBP,2025-01-27,2025-02-03,2025-01-29,C0073-INV-100142,medium,matched
PAYREC-000143,INVREC-000143,CUST-00028,C0028,Harbour Holdings,INV-100143,999.0,GBP,2025-01-30,2025-03-01,2025-03-02,C0028-INV-100143,low,matched
PAYREC-000144,INVREC-000144,CUST-00001,C0001,Maple Limited,INV-100144,149.0,GBP,2025-02-05,2025-03-07,2025-03-09,C0001 100144,high,matched
PAYREC-000145,INVREC-000145,CUST-00070,C0070,ClearWater Solutions,INV-100145,99.0,GBP,2025-02-02,2025-03-04,2025-03-04,C0070 100145,medium,unmatched_expected
PAYREC-000146,INVREC-000146,CUST-00017,C0017,Redwood Retail,INV-100146,2964.82,GBP,2025-01-02,2025-02-01,2025-01-31,PAY INV-100146,high,matched
PAYREC-000147,INVREC-000147,CUST-00003,C0003,Redwood Ltd,INV-100147,399.0,GBP,2025-01-23,2025-02-06,2025-02-06,PAY INV-100147,high,matched
PAYREC-000148,INVREC-000148,CUST-00068,C0068,Redwood Trading,INV-100148,3901.18,GBP,2025-01-15,2025-02-14,2025-02-15,C0068 100148,high,matched
PAYREC-000149,INVREC-000149,CUST-00066,C0066,Acme Group,INV-100149,4729.81,GBP,2025-03-17,2025-03-31,2025-04-03,INV-100149,high,matched
PAYREC-000150,INVREC-000150,CUST-00006,C0006,BlueRock Solutions,INV-100150,4821.93,GBP,2025-03-26,2025-04-25,2025-04-28,C0006-INV-100150,high,matched
PAYREC-000151,INVREC-000151,CUST-00008,C0008,ClearWater Services,INV-100151,584.41,GBP,2025-03-03,2025-04-02,2025-04-03,C0008 100151,medium,matched
PAYREC-000152,INVREC-000152,CUST-00057,C0057,Silverline Trading,INV-100152,149.0,GBP,2025-01-10,2025-02-09,2025-02-11,C0057-INV-100152,medium,unmatched_expected
PAYREC-000153,INVREC-000153,CUST-00009,C0009,Redwood Limited,INV-100153,2764.36,GBP,2025-01-17,2025-01-31,2025-02-02,C0009-INV-100153,medium,unmatched_expected
PAYREC-000154,INVREC-000154,CUST-00042,C0042,BrightPath Limited,INV-100154,2295.89,GBP,2025-02-18,2025-04-04,2025-04-06,PAY INV-100154,low,matched
PAYREC-000155,INVREC-000155,CUST-00056,C0056,Northstar Limited,INV-100155,1200.0,GBP,2025-01-13,2025-02-12,2025-02-14,C0056-INV-100155,high,matched
PAYREC-000156,INVREC-000156,CUST-00071,C0071,Redwood Partners,INV-100156,2098.38,GBP,2025-01-28,2025-02-27,2025-02-28,INV-100156,high,matched
PAYREC-000157,INVREC-000157,CUST-00059,C0059,Maple Services,INV-100157,399.0,GBP,2025-02-21,2025-03-23,2025-03-23,C0059 100157,high,matched
PAYREC-000158,INVREC-000158,CUST-00041,C0041,Summit Holdings,INV-100158,3449.76,GBP,2025-03-27,2025-04-10,2025-04-12,INV-100158,high,matched
PAYREC-000159,INVREC-000159,CUST-00061,C0061,BlueRock Distribution,INV-100159,399.0,GBP,2025-01-09,2025-01-16,2025-01-16,INV-100159,high,matched
PAYREC-000160,INVREC-000160,CUST-00013,C0013,ClearWater Group,INV-100160,2953.0,GBP,2025-02-17,2025-03-19,2025-03-21,C0013-INV-100160,high,matched
